info1,lat,lon,zip,info2,timezone,state,info3,info4
1,37.44316784,-122.1613342,94301,749,PDT,CA,8,12
2,37.44582474,-122.1602455,94301,748,PDT,CA,8,12
3,37.44640225,-122.1606754,94301,750,PDT,CA,8,12
4,37.44482661,-122.1606545,94301,1055,PDT,CA,8,12
5,37.44457645,-122.160757,94301,1054,PDT,CA,8,12
6,37.44471717,-122.1612813,94301,854,PDT,CA,8,12
7,37.44578217,-122.1602629,94301,751,PDT,CA,8,13
8,37.44382137,-122.1610664,94301,748,PDT,CA,8,12
9,37.44501762,-122.1605762,94301,2516,PDT,CA,8,13
10,37.44522915,-122.1604895,94301,1054,PDT,CA,8,13
11,37.44482661,-122.1606545,94301,1055,PDT,CA,8,13
12,37.44482661,-122.1606545,94301,752,PDT,CA,8,12